x1_one_on_one,x2_goals,x3_passing_accuracy,x4_vision,x5_tackles,x6_strength,x7_speed,x8_aerial_duels,x9_dribbling,x10_stamina,Ball Playing Defender,Box to Box Midfielder,Goal Poacher,Midfield Playmaker,No Nonsense Defender,Sweeper Keeper,Target Man,Traditional Goalkeeper
13,90,25,96,6,61,42,3,7,71,0,0,0,0,0,0,0,0
82,45,40,37,51,24,65,74,69,87,0,0,0,0,0,0,0,0
26,84,86,18,19,14,45,11,44,15,0,0,0,0,0,0,0,0
22,92,95,66,15,67,64,42,39,15,0,0,0,1,0,0,0,0
5,45,60,44,5,0,15,23,71,50,0,0,0,0,0,0,0,0
22,92,95,66,15,67,64,42,39,15,0,0,0,1,0,0,0,0
5,45,60,44,5,0,15,23,71,50,0,0,0,0,0,0,0,0
22,92,95,66,15,67,64,42,39,15,0,0,0,1,0,0,0,0
5,45,60,44,5,0,15,23,71,50,0,0,0,0,0,0,0,0
22,92,95,66,15,67,64,42,39,15,0,0,0,1,0,0,0,0
5,45,60,44,5,0,15,23,71,50,0,0,0,0,0,0,0,0
23,44,72,15,95,71,55,93,6,5,0,0,0,0,1,0,0,0
96,18,24,49,31,65,85,28,31,48,0,0,0,0,0,0,0,0
72,38,16,88,82,45,40,46,11,33,0,0,0,0,0,0,0,0
99,11,70,21,63,82,60,99,95,58,1,1,0,0,1,1,1,1
58,25,24,3,52,87,59,6,95,56,0,0,0,0,0,0,0,0
15,70,44,16,73,34,21,31,3,39,0,0,0,0,0,0,0,0
19,40,52,6,80,76,20,38,18,98,0,0,0,0,0,0,0,0
78,82,19,27,68,95,4,26,6,95,0,0,0,0,1,0,0,0
3,46,9,11,33,46,16,20,17,56,0,0,0,0,0,0,0,0
81,34,0,70,64,90,38,24,63,92,0,0,0,0,0,0,0,0
82,93,83,64,68,59,9,22,84,89,1,1,1,1,0,0,1,0
53,59,94,15,92,68,58,46,69,63,1,1,0,0,1,0,0,0
64,69,31,16,62,6,69,6,74,77,0,0,0,0,0,0,0,0
3,87,52,1,6,17,55,38,46,89,0,0,0,0,0,0,0,0
43,7,22,33,44,9,86,84,58,90,0,0,0,0,0,0,0,0
8,97,76,75,2,18,19,72,69,20,0,0,0,1,0,0,0,0
1,74,70,43,25,94,33,26,49,40,0,0,0,0,0,0,0,0
51,96,24,50,14,19,36,13,36,74,0,0,0,0,0,0,0,0
35,27,73,51,9,11,46,29,48,48,0,0,0,0,0,0,0,0
52,19,64,77,58,9,54,94,38,78,0,0,0,0,0,0,0,0
41,39,57,39,81,78,58,68,75,26,1,0,0,0,1,0,0,1
35,76,35,1,80,12,64,6,85,17,0,0,0,0,0,0,0,0
12,18,21,11,84,38,47,33,5,92,0,0,0,0,0,0,0,0
15,45,75,17,9,71,25,89,66,29,0,0,0,0,0,0,0,0
21,88,13,73,12,29,56,9,74,80,0,0,0,0,0,0,0,0
19,2,26,70,38,47,9,31,57,35,0,0,0,0,0,0,0,0
55,21,37,48,2,88,39,54,54,27,0,0,0,0,0,0,0,0
58,18,24,41,0,64,9,85,20,75,0,0,0,0,0,0,0,0
12,29,22,30,26,80,59,64,95,82,0,0,0,0,0,0,0,0
9,52,52,13,64,61,37,33,79,16,0,0,0,0,0,0,0,0
31,30,95,57,95,31,84,95,27,5,0,0,0,1,1,0,0,0
89,22,49,19,23,59,86,86,64,30,0,0,0,0,0,1,0,1
56,62,14,53,12,33,56,98,51,6,0,0,0,0,0,0,0,0
90,45,65,39,27,99,5,83,88,0,0,0,0,0,1,1,1,1
7,40,24,18,26,87,32,9,43,90,0,0,0,0,0,0,0,0
9,17,91,71,24,38,29,52,65,65,0,0,0,0,0,0,0,0
33,1,74,93,53,28,8,53,34,84,0,0,0,0,0,0,0,0
86,68,76,40,94,70,9,6,66,87,1,0,1,0,1,0,0,0
74,96,96,27,13,85,17,38,67,52,0,0,1,0,0,0,1,0
70,15,49,17,90,91,6,68,90,87,1,0,0,0,1,0,0,1
98,22,76,17,83,81,62,7,51,59,1,0,0,0,1,0,0,0
75,72,0,72,8,23,18,88,90,89,0,0,1,0,0,0,0,0
42,3,69,23,38,13,4,74,34,37,0,0,0,0,0,0,0,0
45,46,81,50,39,41,30,54,75,39,0,0,0,0,0,0,0,0
69,74,18,97,16,87,34,67,31,66,0,0,1,0,0,0,1,1
