x1_one_on_one,x2_goals,x3_passing_accuracy,x4_vision,x5_tackles,x6_strength,x7_speed,x8_aerial_duels,x9_dribbling,x10_stamina,Ball Playing Defender,Box to Box Midfielder,Goal Poacher,Midfield Playmaker,No Nonsense Defender,Sweeper Keeper,Target Man,Traditional Goalkeeper
13,90,25,96,6,61,42,3,7,71,0,0,0,0,0,0,0,0
82,45,40,37,51,24,65,74,69,87,0,0,0,0,0,0,0,0
26,84,86,18,19,14,45,11,44,15,0,0,0,0,0,0,0,0
22,92,95,66,15,67,64,42,39,15,0,0,0,1,0,0,0,0
5,45,60,44,5,0,15,23,71,50,0,0,0,0,0,0,0,0
22,92,95,66,15,67,64,42,39,15,0,0,0,1,0,0,0,0
5,45,60,44,5,0,15,23,71,50,0,0,0,0,0,0,0,0
22,92,95,66,15,67,64,42,39,15,0,0,0,1,0,0,0,0
5,45,60,44,5,0,15,23,71,50,0,0,0,0,0,0,0,0
22,92,95,66,15,67,64,42,39,15,0,0,0,1,0,0,0,0
5,45,60,44,5,0,15,23,71,50,0,0,0,0,0,0,0,0
23,44,72,15,95,71,55,93,6,5,0,0,0,0,1,0,0,0
96,18,24,49,31,65,85,28,31,48,0,0,0,0,0,0,0,0
72,38,16,88,82,45,40,46,11,33,0,0,0,0,0,0,0,0
99,11,70,21,63,82,60,99,95,58,1,1,0,0,1,1,1,1
58,25,24,3,52,87,59,6,95,56,0,0,0,0,0,0,0,0
15,70,44,16,73,34,21,31,3,39,0,0,0,0,0,0,0,0
19,40,52,6,80,76,20,38,18,98,0,0,0,0,0,0,0,0
78,82,19,27,68,95,4,26,6,95,0,0,0,0,1,0,0,0
3,46,9,11,33,46,16,20,17,56,0,0,0,0,0,0,0,0
81,34,0,70,64,90,38,24,63,92,0,0,0,0,0,0,0,0
82,93,83,64,68,59,9,22,84,89,1,1,1,1,0,0,1,0
53,59,94,15,92,68,58,46,69,63,1,1,0,0,1,0,0,0
64,69,31,16,62,6,69,6,74,77,0,0,0,0,0,0,0,0
3,87,52,1,6,17,55,38,46,89,0,0,0,0,0,0,0,0
43,7,22,33,44,9,86,84,58,90,0,0,0,0,0,0,0,0
8,97,76,75,2,18,19,72,69,20,0,0,0,1,0,0,0,0
1,74,70,43,25,94,33,26,49,40,0,0,0,0,0,0,0,0
51,96,24,50,14,19,36,13,36,74,0,0,0,0,0,0,0,0
35,27,73,51,9,11,46,29,48,48,0,0,0,0,0,0,0,0
52,19,64,77,58,9,54,94,38,78,0,0,0,0,0,0,0,0
41,39,57,39,81,78,58,68,75,26,1,0,0,0,1,0,0,1
35,76,35,1,80,12,64,6,85,17,0,0,0,0,0,0,0,0
12,18,21,11,84,38,47,33,5,92,0,0,0,0,0,0,0,0
15,45,75,17,9,71,25,89,66,29,0,0,0,0,0,0,0,0
21,88,13,73,12,29,56,9,74,80,0,0,0,0,0,0,0,0
19,2,26,70,38,47,9,31,57,35,0,0,0,0,0,0,0,0
55,21,37,48,2,88,39,54,54,27,0,0,0,0,0,0,0,0
58,18,24,41,0,64,9,85,20,75,0,0,0,0,0,0,0,0
12,29,22,30,26,80,59,64,95,82,0,0,0,0,0,0,0,0
9,52,52,13,64,61,37,33,79,16,0,0,0,0,0,0,0,0
31,30,95,57,95,31,84,95,27,5,0,0,0,1,1,0,0,0
89,22,49,19,23,59,86,86,64,30,0,0,0,0,0,1,0,1
56,62,14,53,12,33,56,98,51,6,0,0,0,0,0,0,0,0
90,45,65,39,27,99,5,83,88,0,0,0,0,0,1,1,1,1
7,40,24,18,26,87,32,9,43,90,0,0,0,0,0,0,0,0
9,17,91,71,24,38,29,52,65,65,0,0,0,0,0,0,0,0
33,1,74,93,53,28,8,53,34,84,0,0,0,0,0,0,0,0
86,68,76,40,94,70,9,6,66,87,1,0,1,0,1,0,0,0
74,96,96,27,13,85,17,38,67,52,0,0,1,0,0,0,1,0
70,15,49,17,90,91,6,68,90,87,1,0,0,0,1,0,0,1
98,22,76,17,83,81,62,7,51,59,1,0,0,0,1,0,0,0
75,72,0,72,8,23,18,88,90,89,0,0,1,0,0,0,0,0
42,3,69,23,38,13,4,74,34,37,0,0,0,0,0,0,0,0
45,46,81,50,39,41,30,54,75,39,0,0,0,0,0,0,0,0
69,74,18,97,16,87,34,67,31,66,0,0,1,0,0,0,1,1
68,88,5,12,28,2,61,23,80,94,0,0,1,0,0,0,0,0
42,5,74,67,22,49,52,92,66,77,0,0,0,1,0,1,0,1
15,51,69,36,2,28,95,12,98,96,0,0,0,0,0,0,0,0
94,70,34,49,68,0,65,27,68,47,0,0,0,0,0,0,0,0
64,31,76,52,64,1,33,9,93,13,0,0,0,0,0,0,0,0
23,71,96,42,16,24,79,49,79,86,0,1,1,1,0,0,0,0
44,22,98,20,8,99,76,88,6,71,0,0,0,0,1,1,0,1
39,69,0,59,97,89,64,75,77,99,1,1,1,0,1,1,1,1
37,23,92,69,60,88,12,76,78,30,1,0,0,1,1,1,0,1
37,35,77,30,88,99,85,21,50,25,1,0,0,0,0,0,0,0
31,91,68,82,58,67,51,70,11,70,0,1,1,1,1,0,1,0
1,68,84,43,34,51,36,21,73,2,0,0,0,0,0,0,0,0
95,17,17,4,35,33,51,87,37,5,0,0,0,0,0,0,0,0
49,69,57,75,35,94,31,34,33,99,0,0,1,0,0,0,0,0
44,19,85,38,92,21,45,90,18,68,0,0,0,0,1,0,0,0
28,70,59,60,65,43,27,65,71,43,0,0,0,0,0,0,0,0
5,32,83,51,20,45,92,27,81,64,0,0,0,1,0,0,0,0
52,46,67,36,6,49,82,45,55,82,0,0,0,0,0,0,0,0
67,44,73,36,88,36,78,30,94,34,0,0,0,0,0,0,0,0
89,40,82,59,90,74,78,14,3,50,1,0,0,0,1,0,0,0
22,74,34,3,71,18,42,99,18,73,0,0,0,0,0,0,0,0
83,61,77,49,30,67,29,47,87,12,0,0,0,0,0,0,0,1
60,8,15,17,39,9,97,29,68,11,0,0,0,0,0,0,0,0
2,55,53,58,65,90,36,76,62,1,0,0,0,0,0,0,0,0
84,39,3,45,39,5,15,92,25,35,0,0,0,0,0,0,0,0
13,4,11,63,92,69,38,26,66,21,0,0,0,0,0,0,0,0
57,91,74,9,8,34,32,44,37,87,0,0,1,0,0,0,0,0
66,53,15,88,15,69,50,29,5,35,0,0,0,0,0,0,0,0
57,47,94,83,50,0,79,34,42,66,0,0,0,1,0,0,0,0
44,59,16,81,37,49,64,45,86,37,0,0,0,0,0,0,0,0
97,47,41,26,78,5,14,94,9,49,0,0,0,0,0,0,0,0
89,30,49,11,19,45,75,55,66,73,0,0,0,0,0,0,0,0
1,97,37,76,93,6,85,97,17,47,0,0,0,0,0,0,0,0
81,10,44,9,11,81,94,20,12,18,0,0,0,0,0,0,0,0
43,12,25,18,66,22,15,70,75,86,0,0,0,0,0,0,0,0
6,0,24,91,25,87,33,67,25,59,0,0,0,0,0,0,0,0
29,92,8,80,47,20,20,51,47,63,0,0,0,0,0,0,0,0
83,50,56,99,77,37,6,17,67,78,0,0,0,1,0,0,0,0
44,93,53,28,41,60,1,62,88,83,0,0,1,0,0,0,1,0
9,37,42,88,34,80,47,25,77,58,0,0,0,0,0,0,0,0
94,43,79,92,85,17,99,42,0,75,1,1,0,1,0,1,0,0
43,8,98,23,98,61,88,96,62,63,1,1,0,0,1,1,0,1
23,18,17,4,31,28,12,42,58,0,0,0,0,0,0,0,0,0
60,99,15,73,15,44,59,25,41,54,0,0,1,0,0,0,0,0
15,78,24,60,16,15,86,47,24,75,0,0,0,0,0,0,0,0
44,9,70,44,38,72,56,91,15,67,0,0,0,0,0,0,0,0
24,57,72,77,10,36,16,77,26,67,0,0,0,0,0,0,0,0
50,63,11,15,3,19,64,57,65,64,0,0,0,0,0,0,0,0
38,86,51,36,94,66,43,67,75,67,1,1,1,0,1,0,1,0
15,66,80,17,2,66,33,40,29,5,0,0,0,0,0,0,0,0
32,81,32,30,67,79,47,69,64,60,0,0,1,0,1,0,0,0
41,62,69,49,25,34,98,0,21,88,0,0,0,0,0,0,0,0
31,31,39,43,37,25,59,58,23,30,0,0,0,0,0,0,0,0
34,47,98,35,43,2,61,23,65,25,0,0,0,0,0,0,0,0
29,11,31,56,22,61,34,37,83,51,0,0,0,0,0,0,0,0
18,73,38,57,61,71,50,13,93,77,0,0,0,0,0,0,0,0
86,16,9,52,87,90,31,96,16,23,0,0,0,0,1,0,0,1
17,84,65,8,75,59,65,49,17,3,0,0,0,0,0,0,0,0
28,9,37,87,46,33,87,27,91,58,0,0,0,0,0,0,0,0
1,67,47,70,57,85,84,82,91,98,1,1,1,1,1,1,1,1
78,42,35,49,87,6,86,25,63,15,0,0,0,0,0,0,0,0
46,40,51,55,98,63,56,2,6,97,0,0,0,0,0,0,0,0
91,74,81,12,1,18,33,93,39,90,0,0,1,0,0,0,0,0
44,0,71,91,70,79,11,49,77,57,1,0,0,1,0,0,0,1
69,57,7,57,79,95,94,56,29,33,1,0,0,0,1,1,0,1
77,81,93,59,71,42,24,27,21,96,0,0,1,1,0,0,0,0
54,60,49,67,20,54,58,79,30,35,0,0,0,0,0,0,0,0
39,92,74,64,50,23,81,20,43,2,0,0,0,1,0,0,0,0
43,85,90,47,39,0,87,41,66,30,0,0,1,1,0,0,0,0
60,99,54,95,29,4,63,67,10,67,0,0,1,1,0,0,0,0
55,38,72,43,29,56,95,92,99,21,1,0,0,1,0,1,1,1
66,39,95,27,54,8,56,5,98,45,0,0,0,0,0,0,0,0
2,95,95,61,76,26,27,20,4,93,0,0,0,1,0,0,0,0
89,64,21,78,47,96,67,61,70,90,1,1,1,1,1,1,1,1
96,52,86,54,4,92,88,89,50,8,1,0,1,1,1,1,1,1
55,42,91,17,8,52,91,33,30,79,0,0,0,0,0,0,0,0
36,9,44,37,51,4,74,59,73,30,0,0,0,0,0,0,0,0
11,34,37,30,51,37,91,61,54,34,0,0,0,0,0,0,0,0
54,47,46,83,42,76,53,37,41,21,0,0,0,0,0,0,0,0
15,75,85,56,94,62,91,29,30,21,0,0,0,1,0,0,0,0
66,21,33,64,26,62,94,66,79,49,0,0,0,0,0,1,0,1
80,1,27,10,75,56,60,71,55,64,0,0,0,0,1,0,0,0
3,76,23,34,54,16,30,11,27,59,0,0,0,0,0,0,0,0
71,98,52,5,8,23,11,76,27,68,0,0,0,0,0,0,0,0
63,18,0,5,16,20,86,63,72,14,0,0,0,0,0,0,0,0
97,11,88,44,46,52,15,74,17,68,0,0,0,0,0,0,0,0
